organization_name,lane,org_type,address,city,distance_miles,contact_name,role_target,email,phone,source,verification_status
Wheeler Avenue School,School,school,1 West Wheeler Avenue,Valley Stream,9.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Paché Montessori,School,kindergarten,292 Court Street,,9.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Junior High School 29,School,school,,,9.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Memorial High School,School,school,,,9.28,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Prospect Medical Group,Medical,doctors,,,9.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Allied Pediatrics of Cobble Hill,Medical,doctor,,,9.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Valentine School,School,school,816 East 221st Street,,9.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Harry Bain Elementary School,School,school,,,9.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Anna L Klein Elementary School,School,school,,,9.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Joseph's High School,School,school,,,9.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Cardinal Spellman High School,School,school,,,9.29,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Wickshire School,School,school,,,9.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Gifford Family Practice,Medical,doctors,,,9.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Woodcliff Community Church Food Pantry,Support Organization,social_facility,7605 Palisade Avenue,North Bergen,9.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Lincoln School,School,school,,,9.3,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 2 Elementary School,School,school,,,9.31,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 4 Elementary School,School,school,,,9.31,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Johns School,School,school,,,9.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Al-Madinah School,School,school,383 3rd Avenue,,9.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Montefiore Medical Group Family Care Center,Medical,clinic,3444 Kossuth Avenue,,9.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Theodore Roosevelt Number 5 Elementary School,School,school,1 Louisa Place,Weehawken,9.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 39,School,school,,,9.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 2 Elementary School,School,school,,,9.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian/Allen Hospital,Medical,hospital,5141 Broadway,New York,9.32,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
St Ann School (Permanently Closed),School,school,3511 Bainbridge Avenue,,9.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Tribeca Pediatrics,Medical,doctor,327 Court Street,,9.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Polk Street Elementary School,School,school,960 Polk Avenue,Franklin Square,9.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Stuyvesant High School,School,school,345 Chambers Street,New York,9.33,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Beansprouts,School,kindergarten,351 8th Street,Brooklyn,9.34,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Let's Play & Learn,School,kindergarten,371 4th Avenue,,9.34,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park Slope Dermatology & Medi-Spa,Medical,doctor,,,9.34,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Albio Sires Elementary School,School,school,,,9.34,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
James A. Dever Elementary School,School,school,585 North Corona Avenue,Valley Stream,9.34,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Washington Street School,School,school,760 Washington Street,Franklin Square,9.34,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park Slope Physicians Associates,Medical,doctors,326 7th Street,,9.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Victor Masi, DO",Medical,doctors,338 Court Street,Brooklyn,9.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Total Foot & Ankle Care,Medical,doctors,326 7th Street,,9.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Leaf Medical,Medical,doctor,,,9.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Josephs School,School,school,,,9.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
H. Frank Carey High School,School,school,230 Poppy Avenue,Franklin Square,9.35,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Monroe Street Elementary School,School,school,,,9.36,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Interventional Spine & Pain Medicine,Medical,doctors,,,9.36,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
West New York Middle School,School,school,,,9.36,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Kinderhaus,School,kindergarten,,,9.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Herricks High School,School,school,100 Shelter Rock Road,New Hyde Park,9.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brookdale Battery Park,Support Organization,social_facility,455 North End Avenue,New York,9.37,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Franklin Avenue Elementary School,School,school,,,9.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Grace Lutheran School,School,school,,,9.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,416 5th Avenue,,9.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Foot Specialists,Medical,doctors,66 West Merrick Road,Valley Stream,9.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Valley Stream South High School,School,school,150 Jedwood Place,Valley Stream,9.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Flatbush Ascend Charter Middle School,School,school,1833 Nostrand Avenue,,9.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Success Academy East Flatbush Middle School,School,school,3109 Newkirk Avenue,Brooklyn,9.38,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Port Washington Children's Center,School,school,,,9.39,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Atmosphere Academy Public Charter Schools,School,school,22 Marble Hill Avenue,Bronx,9.39,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Long Island Jewish Valley Stream,Medical,hospital,900 Franklin Avenue,Valley Stream,9.39,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,3494 Jerome Avenue,,9.4,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Tribeca Pediatrics,Medical,doctors,,,9.4,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Atul Chokshi, M.D., F.A.C.C.",Medical,doctors,,,9.4,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
N.Y. Total Medical Care,Medical,doctors,,,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Ankur Shah, MD",Medical,doctors,,,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Lalit Patel, MD, FAAC",Medical,doctors,,,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Beansprouts,School,kindergarten,,,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,24 Broad Street,,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ogden Elementary School,School,school,875 Longview Avenue,Valley Stream,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Herricks Public Schools,School,school,,,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
High School of Economics and Finance,School,school,100 Trinity Place,New York,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Shelter Rock Academy,School,school,99 Shelter Rock Road,New Hyde Park,9.41,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 3 Elementary School,School,school,,,9.42,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Church Medical Offices,Medical,clinic,1810 Church Avenue,Brooklyn,9.42,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 118 The Maurice Sendak Community School,School,school,211 8th Street,,9.42,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Leadership and Public Service High School,School,school,90 Trinity Place,New York,9.42,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 58 The Carroll School,School,school,330 Smith Street,Brooklyn,9.42,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Lehman Manhattan Preparatory School,School,school,41 Broad Street,,9.43,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Beansprouts,School,kindergarten,,,9.43,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Mitchel Siegel,Medical,doctor,,,9.43,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Paul Levy,Medical,doctor,,,9.43,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Hand Surgery,Medical,doctors,,,9.44,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park Slope Little Learners,School,kindergarten,463 6th Avenue,Brooklyn,9.44,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
La Souris Verte,School,kindergarten,,,9.45,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Beansprouts,School,kindergarten,454-456 6th Avenue,,9.45,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hannah Senesh Community Day School,School,school,342 Smith Street,,9.45,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 5 Elementary School,School,school,,,9.45,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York Cardiac Diagnostic Center,Medical,clinic,65 Broadway,New York,9.46,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Millenium High School,School,school,,,9.46,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ocean Family Care Center,Medical,doctors,622 Ocean Avenue,,9.46,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Robert W. Carbonaro Elementary School,School,school,,,9.46,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Asim R. Malik, MD",Medical,doctors,1224 8th Avenue,,9.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian Medical Group Brooklyn,Medical,doctors,1224 8th Avenue,,9.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CAMBA,Support Organization,social_facility,1720 Church Avenue,,9.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
City Life Academy,School,school,,,9.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Kinderhaus,School,school,466 6th Avenue,Brooklyn,9.47,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park Slope Podiatry,Medical,doctor,,,9.48,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Care At Home of New York,Support Organization,social_facility,168 7th Street,,9.48,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park Slope Integrative Medicine,Medical,doctors,,,9.48,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Family Home Care Services,Support Organization,social_facility,168 7th Street,,9.48,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Gold Cost Family Dental,Medical,doctors,2 Cow Neck Road,Port Washington,9.48,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Heart,Medical,doctors,270 1/2 9th Street,,9.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Kala Sury, M.D.",Medical,doctors,,,9.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Passport Health New York - Financial District Travel Clinic,Medical,clinic,42 Broadway,New York,9.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New York-Presbyterian Brooklyn Methodist Hospital,Medical,doctors,1771 Utica Avenue,Brooklyn,9.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 107 John W. Kimball,School,school,1301 8th Avenue,Brooklyn,9.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Vincent Smith School,School,school,,,9.49,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Northwell Health + GoHealth Urgent Care,Medical,clinic,,,9.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Concentra Medical Center,Medical,clinic,,,9.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Hima Punukollu, MD",Medical,doctor,1502 Caton Avenue,,9.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
North Shore LIJ Annex,Medical,clinic,1072 Franklin Avenue,Valley Stream,9.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Herricks Middle School,School,school,7 Hilldale Drive,Albertson,9.5,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Vincent Smith School,School,school,,,9.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 6 Elementary School,School,school,,,9.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian Brooklyn Methodist Hospital,Medical,clinic,1910 Nostrand Avenue,Brooklyn,9.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
John Philip Sousa Elementary School,School,school,,,9.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Children's School 372K,School,school,193 9th Street,,9.51,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Vasudev Gabbur, MD",Medical,doctors,398A 13th Street,,9.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Unique Perinatal Care,Medical,doctor,,,9.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Urban Assembly School of Business for Young Women,School,school,26 Broadway,New York,9.52,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr Mitchell S. Seidman,Medical,doctor,,,9.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 312,School,school,,,9.53,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Art Annex Brooklyn,School,kindergarten,413A 7th Avenue,,9.54,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sunrise Medical Laboratories,Medical,clinic,48 West Sunrise Highway,Valley Stream,9.54,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ladybug Preschool,School,kindergarten,,,9.54,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Richard R. Green High School of Teaching,School,school,7 Beaver Street,New York,9.54,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Manorhaven Elementary School,School,school,,,9.54,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Growing Life Christian Academy,School,school,,,9.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Artisan Podiatry,Medical,doctors,200 Prospect Park West,,9.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Kesser Rehabilitation Center,Support Organization,rehabilitation,,,9.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Weehawken Building Department / Recreation Department / Board of Health,Medical,clinic,,,9.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 249,School,school,18 Marlborough Road,Brooklyn,9.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 154,School,school,1625 11th Avenue,Brooklyn,9.55,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Uceda School English,School,school,6014 Bergenline Avenue,,9.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Maven Valley Prep,School,kindergarten,,,9.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Stephen C. Perrone, MD",Medical,doctor,33 1st Place,,9.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
North Hudson Community Action Corporation,Support Organization,social_facility,7007 Polk Street,Guttenberg,9.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Bristal Assisted Living,Support Organization,social_facility,477 Hungry Harbor Road,Woodmere,9.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Robert Fulton Annex School,School,school,,,9.56,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Who's on First?,School,kindergarten,,,9.57,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Dr. Himansh Khanna MD, FACS",Medical,doctors,348 13th Street,,9.57,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Alan Stein, MD",Medical,doctors,348 13th Street,,9.57,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Cresthill Academy Day Care and Preschool,School,school,1300 Sinatra Drive North,,9.57,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Jersey Gynecomastia Center,Medical,doctors,1567 Palisade Avenue,Fort Lee,9.57,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Penguin Coding School,School,kindergarten,424 7th Avenue,,9.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mineola High School,School,school,10 Armstrong Road,Garden City Park,9.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 95,School,school,3961 Hillman Avenue,Bronx,9.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Roosevelt Elementary School,School,school,,,9.58,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Yeshiva Ketana School of Long Island,School,school,,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Albert Tuitt Senior Educational Campus IS/HS 362,School,school,,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
South Slope Pediatrics,Medical,doctor,,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Good Shepard Services,Support Organization,social_facility,503 5th Avenue,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Collective Kind,School,kindergarten,,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Yvonne Dang,Medical,doctor,,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Fibroid,Medical,clinic,406 15th Street,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Explorer Studio,School,kindergarten,,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Maiden Lane Medical,Medical,clinic,503 5th Avenue,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Caton Park Rehabilitation & Nursing Center,Support Organization,social_facility,1312 Caton Avenue,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Happy Montessori School of Port Washington,School,school,,,9.59,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Apple Montessori,School,kindergarten,,,9.6,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Nativity of Our Blessed Lady School,School,school,3893 Dyre Avenue,,9.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mineola Urgent Care,Medical,clinic,292 A Herricks Road,Mineola,9.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ditmas Park Medical Care,Medical,clinic,2020 Cortelyou Road,,9.61,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
John F Kennedy High School,School,school,,,9.62,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Zoni English,School,school,Bergenline Avenue,,9.62,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Henry Viscardi School,School,school,,,9.62,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Marble Hill High School of International Studies,School,school,,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Mary School,School,school,3956 Carpenter Avenue,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Tiny Purple Pantry,Support Organization,social_facility,,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bronx Excellence 3 Elementary,School,school,3956 Carpenter Avenue,Bronx,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mary McDowell Friends Middle School,School,school,133-135 Summit Street,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 1 Elementary School,School,school,,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Number 4 Elementary School,School,school,,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Holy Name of Mary School,School,school,,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Joseph the Worker Catholic Academy,School,school,241 Prospect Park West,,9.63,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Chickpeas,School,kindergarten,,,9.64,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bright Horizons,School,kindergarten,,,9.64,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Center Street Elementary School,School,school,240 Center Street,Williston Park,9.64,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Smith Street Maternelle,School,kindergarten,607 Henry Street,,9.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Goal BMI,Medical,doctor,480 Court Street,,9.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rebuilding Together,Support Organization,social_facility,126 10th Street,,9.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
District 2 Pre-K Center,School,kindergarten,2-26 Washington Street,New York,9.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Downtown Vein Treatment Center,Medical,doctors,480 Court Street,Brooklyn,9.65,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dosik Hematology / Oncology,Medical,clinic,,,9.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Be Above Pre School,School,kindergarten,,,9.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Montefiore Einstein Radiology at Riverdale,Medical,doctors,3050 Corlear Avenue,Bronx,9.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sunrise Medical Laboratories,Medical,clinic,85 East Merrick Road,Valley Stream,9.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Northwell Health – GoHealth Urgent Care,Medical,clinic,1033 Northern Boulevard,Roslyn,9.66,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Windsor Podiatry,Medical,doctor,,,9.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park Slope Medical Center,Medical,doctors,,,9.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Endovascular Center,Medical,doctor,,,9.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Salvation Army Donation Center,Support Organization,social_facility,109 2nd Avenue,,9.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Union Hill High School,School,school,,,9.67,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dermatology Office,Medical,doctor,254 Prospect Park West,,9.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Optum,Medical,clinic,1111 Hudson St,Hoboken,9.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 78,School,school,,,9.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
International School of Brooklyn,School,school,477 Court Street,,9.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park Slope Family Health Center,Medical,clinic,220 13th Street,,9.68,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Sandbox,School,kindergarten,,,9.69,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Apple Academy,School,kindergarten,,,9.69,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctor,,,9.69,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Beam Center,Support Organization,social_facility,60 Sackett Street,,9.69,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
