organization_name,lane,org_type,address,city,phone,email,website,contact_name,role_target,distance_miles,source,verification_status
Foot Specialists,Medical,doctors,66 West Merrick Road,Valley Stream,+1-516-825-3860,,,,Pediatric Intake Coordinator,9.38,OpenStreetMap (Overpass),raw_unverified
Valley Stream South High School,School,school,150 Jedwood Place,Valley Stream,+1 516-791-0300,,https://vschsd.org/schools/south-high-school/,,School Social Worker,9.38,OpenStreetMap (Overpass),raw_unverified
Flatbush Ascend Charter Middle School,School,school,1833 Nostrand Avenue,,+1-347-941-1140,,https://www.ascendlearning.org/middle-schools/flatbush-ascend-middle/,,School Social Worker,9.38,OpenStreetMap (Overpass),raw_unverified
Success Academy East Flatbush Middle School,School,school,3109 Newkirk Avenue,Brooklyn,+1-718-395-6345,SAEFMS.MainOffice@saschools.org,https://www.successacademies.org/school/east-flatbush-middle-school/,,School Social Worker,9.38,OpenStreetMap (Overpass),raw_unverified
Port Washington Children's Center,School,school,,,,,,,School Social Worker,9.39,OpenStreetMap (Overpass),raw_unverified
Atmosphere Academy Public Charter Schools,School,school,22 Marble Hill Avenue,Bronx,,,https://atmosphere.org/,,School Social Worker,9.39,OpenStreetMap (Overpass),raw_unverified
Long Island Jewish Valley Stream,Medical,hospital,900 Franklin Avenue,Valley Stream,+1 516 256 6000,,https://www.northwell.edu/find-care/locations/long-island-jewish-valley-stream,,Pediatric Intake Coordinator,9.39,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,3494 Jerome Avenue,,,,,,Pediatric Intake Coordinator,9.4,OpenStreetMap (Overpass),raw_unverified
Tribeca Pediatrics,Medical,doctors,,,+1-718-568-9220,,https://www.tribecapediatrics.com/your-office/park-slope/,,Pediatric Intake Coordinator,9.4,OpenStreetMap (Overpass),raw_unverified
"Atul Chokshi, M.D., F.A.C.C.",Medical,doctors,,,+1-718-499-0202,,,,Pediatric Intake Coordinator,9.4,OpenStreetMap (Overpass),raw_unverified
N.Y. Total Medical Care,Medical,doctors,,,+1-718-499-6099,,,,Pediatric Intake Coordinator,9.41,OpenStreetMap (Overpass),raw_unverified
"Ankur Shah, MD",Medical,doctors,,,,,,,Pediatric Intake Coordinator,9.41,OpenStreetMap (Overpass),raw_unverified
"Lalit Patel, MD, FAAC",Medical,doctors,,,+1-718-499-6000,,,,Pediatric Intake Coordinator,9.41,OpenStreetMap (Overpass),raw_unverified
Beansprouts,School,kindergarten,,,+1-718-965-8573,,https://www.beansproutsnurseryschool.com,,School Social Worker,9.41,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,24 Broad Street,,+4 646-647-1259,,https://www.citymd.com/urgent-care-locations/ny/financial-district,,Pediatric Intake Coordinator,9.41,OpenStreetMap (Overpass),raw_unverified
Ogden Elementary School,School,school,875 Longview Avenue,Valley Stream,,,,,School Social Worker,9.41,OpenStreetMap (Overpass),raw_unverified
Herricks Public Schools,School,school,,,+1 516 305 8900,,https://www.herricks.org/,,School Social Worker,9.41,OpenStreetMap (Overpass),raw_unverified
High School of Economics and Finance,School,school,100 Trinity Place,New York,,,,,School Social Worker,9.41,OpenStreetMap (Overpass),raw_unverified
Shelter Rock Academy,School,school,99 Shelter Rock Road,New Hyde Park,+1 516 305 8880,,https://www.herricks.org/,,School Social Worker,9.41,OpenStreetMap (Overpass),raw_unverified
Number 3 Elementary School,School,school,,,,,,,School Social Worker,9.42,OpenStreetMap (Overpass),raw_unverified
Church Medical Offices,Medical,clinic,1810 Church Avenue,Brooklyn,,,,,Pediatric Intake Coordinator,9.42,OpenStreetMap (Overpass),raw_unverified
P.S. 118 The Maurice Sendak Community School,School,school,211 8th Street,,+1-718-840-5660,,https://www.mauricesendakcommunityschool.org,,School Social Worker,9.42,OpenStreetMap (Overpass),raw_unverified
Leadership and Public Service High School,School,school,90 Trinity Place,New York,,,,,School Social Worker,9.42,OpenStreetMap (Overpass),raw_unverified
P.S. 58 The Carroll School,School,school,330 Smith Street,Brooklyn,+1-718-330-9322,,,,School Social Worker,9.42,OpenStreetMap (Overpass),raw_unverified
Lehman Manhattan Preparatory School,School,school,41 Broad Street,,,,,,School Social Worker,9.43,OpenStreetMap (Overpass),raw_unverified
Beansprouts,School,kindergarten,,,+1-718-965-8573,,https://www.beansproutsnurseryschool.com,,School Social Worker,9.43,OpenStreetMap (Overpass),raw_unverified
Dr. Mitchel Siegel,Medical,doctor,,,+1-718-788-2290,,,,Pediatric Intake Coordinator,9.43,OpenStreetMap (Overpass),raw_unverified
Dr. Paul Levy,Medical,doctor,,,+1-718-788-2290,,,,Pediatric Intake Coordinator,9.43,OpenStreetMap (Overpass),raw_unverified
New York Hand Surgery,Medical,doctors,,,+1-718-369-4263,,https://www.nyhanddoctor.com/,,Pediatric Intake Coordinator,9.44,OpenStreetMap (Overpass),raw_unverified
Park Slope Little Learners,School,kindergarten,463 6th Avenue,Brooklyn,+1-347-933-2714,,https://www.iaslearningtree.com,,School Social Worker,9.44,OpenStreetMap (Overpass),raw_unverified
La Souris Verte,School,kindergarten,,,+1-332-322-8787,,https://www.lasourisverteny.com,,School Social Worker,9.45,OpenStreetMap (Overpass),raw_unverified
Beansprouts,School,kindergarten,454-456 6th Avenue,,+1-718-965-8573,,https://www.beansproutsnurseryschool.com,,School Social Worker,9.45,OpenStreetMap (Overpass),raw_unverified
Hannah Senesh Community Day School,School,school,342 Smith Street,,+1 718 858 8663,,https://www.hannahsenesh.org/,,School Social Worker,9.45,OpenStreetMap (Overpass),raw_unverified
Number 5 Elementary School,School,school,,,,,,,School Social Worker,9.45,OpenStreetMap (Overpass),raw_unverified
New York Cardiac Diagnostic Center,Medical,clinic,65 Broadway,New York,+1-212-860-5404,info@newyorkcardiac.com,https://newyorkcardiac.com,,Pediatric Intake Coordinator,9.46,OpenStreetMap (Overpass),raw_unverified
Millenium High School,School,school,,,,,,,School Social Worker,9.46,OpenStreetMap (Overpass),raw_unverified
Ocean Family Care Center,Medical,doctors,622 Ocean Avenue,,+1-718-693-2800,,,,Pediatric Intake Coordinator,9.46,OpenStreetMap (Overpass),raw_unverified
Robert W. Carbonaro Elementary School,School,school,,,,,,,School Social Worker,9.46,OpenStreetMap (Overpass),raw_unverified
"Asim R. Malik, MD",Medical,doctors,1224 8th Avenue,,+1-718-788-5588,,,,Pediatric Intake Coordinator,9.47,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian Medical Group Brooklyn,Medical,doctors,1224 8th Avenue,,,,,,Pediatric Intake Coordinator,9.47,OpenStreetMap (Overpass),raw_unverified
CAMBA,Support Organization,social_facility,1720 Church Avenue,,+1-718-287-2600,,https://camba.org,,Program Intake Coordinator,9.47,OpenStreetMap (Overpass),raw_unverified
City Life Academy,School,school,,,+1-347-227-8255,,https://citylife.academy,,School Social Worker,9.47,OpenStreetMap (Overpass),raw_unverified
Kinderhaus,School,school,466 6th Avenue,Brooklyn,,,,,School Social Worker,9.47,OpenStreetMap (Overpass),raw_unverified
Park Slope Podiatry,Medical,doctor,,,+1-718-768-4529,,,,Pediatric Intake Coordinator,9.48,OpenStreetMap (Overpass),raw_unverified
Care At Home of New York,Support Organization,social_facility,168 7th Street,,+1-718-907-4700,,https://www.fhcsny.org/cah_services.html,,Program Intake Coordinator,9.48,OpenStreetMap (Overpass),raw_unverified
Park Slope Integrative Medicine,Medical,doctors,,,+1-845-276-3155,,https://www.drmonachiniwala.com,,Pediatric Intake Coordinator,9.48,OpenStreetMap (Overpass),raw_unverified
Family Home Care Services,Support Organization,social_facility,168 7th Street,,+1-718-832-0550,,https://www.fhcsny.org,,Program Intake Coordinator,9.48,OpenStreetMap (Overpass),raw_unverified
Gold Cost Family Dental,Medical,doctors,2 Cow Neck Road,Port Washington,,,,,Pediatric Intake Coordinator,9.48,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Heart,Medical,doctors,270 1/2 9th Street,,,,,,Pediatric Intake Coordinator,9.49,OpenStreetMap (Overpass),raw_unverified
"Kala Sury, M.D.",Medical,doctors,,,,,,,Pediatric Intake Coordinator,9.49,OpenStreetMap (Overpass),raw_unverified
Passport Health New York - Financial District Travel Clinic,Medical,clinic,42 Broadway,New York,,,,,Pediatric Intake Coordinator,9.49,OpenStreetMap (Overpass),raw_unverified
New York-Presbyterian Brooklyn Methodist Hospital,Medical,doctors,1771 Utica Avenue,Brooklyn,+1 718 209 0888,,https://www.nyp.org/brooklyn/,,Pediatric Intake Coordinator,9.49,OpenStreetMap (Overpass),raw_unverified
Public School 107 John W. Kimball,School,school,1301 8th Avenue,Brooklyn,,,https://www.schools.nyc.gov/schools/K107,,School Social Worker,9.49,OpenStreetMap (Overpass),raw_unverified
Vincent Smith School,School,school,,,,,,,School Social Worker,9.49,OpenStreetMap (Overpass),raw_unverified
Northwell Health + GoHealth Urgent Care,Medical,clinic,,,,,,,Pediatric Intake Coordinator,9.5,OpenStreetMap (Overpass),raw_unverified
Concentra Medical Center,Medical,clinic,,,,,,,Pediatric Intake Coordinator,9.5,OpenStreetMap (Overpass),raw_unverified
"Hima Punukollu, MD",Medical,doctor,1502 Caton Avenue,,+1-718-693-3300,,,,Pediatric Intake Coordinator,9.5,OpenStreetMap (Overpass),raw_unverified
North Shore LIJ Annex,Medical,clinic,1072 Franklin Avenue,Valley Stream,,,,,Pediatric Intake Coordinator,9.5,OpenStreetMap (Overpass),raw_unverified
Herricks Middle School,School,school,7 Hilldale Drive,Albertson,,,,,School Social Worker,9.5,OpenStreetMap (Overpass),raw_unverified
Vincent Smith School,School,school,,,,,,,School Social Worker,9.51,OpenStreetMap (Overpass),raw_unverified
Number 6 Elementary School,School,school,,,,,,,School Social Worker,9.51,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian Brooklyn Methodist Hospital,Medical,clinic,1910 Nostrand Avenue,Brooklyn,+1 718 284 4440,,https://www.nyp.org/brooklyn/locations,,Pediatric Intake Coordinator,9.51,OpenStreetMap (Overpass),raw_unverified
John Philip Sousa Elementary School,School,school,,,,,,,School Social Worker,9.51,OpenStreetMap (Overpass),raw_unverified
The Children's School 372K,School,school,193 9th Street,,,,https://www.ps372pta.org,,School Social Worker,9.51,OpenStreetMap (Overpass),raw_unverified
"Vasudev Gabbur, MD",Medical,doctors,398A 13th Street,,+1-718-499-5351,,,,Pediatric Intake Coordinator,9.52,OpenStreetMap (Overpass),raw_unverified
Unique Perinatal Care,Medical,doctor,,,+1-718-499-2010,,https://www.uniqueperinatal.com,,Pediatric Intake Coordinator,9.52,OpenStreetMap (Overpass),raw_unverified
Urban Assembly School of Business for Young Women,School,school,26 Broadway,New York,+1-212-668-0169,,https://www.uasbfyw.org/,,School Social Worker,9.52,OpenStreetMap (Overpass),raw_unverified
Dr Mitchell S. Seidman,Medical,doctor,,,+1-718-332-2020,,,,Pediatric Intake Coordinator,9.53,OpenStreetMap (Overpass),raw_unverified
Public School 312,School,school,,,,,,,School Social Worker,9.53,OpenStreetMap (Overpass),raw_unverified
The Art Annex Brooklyn,School,kindergarten,413A 7th Avenue,,+1-718-395-7324,,https://www.theartannexbrooklyn.com,,School Social Worker,9.54,OpenStreetMap (Overpass),raw_unverified
Sunrise Medical Laboratories,Medical,clinic,48 West Sunrise Highway,Valley Stream,,,,,Pediatric Intake Coordinator,9.54,OpenStreetMap (Overpass),raw_unverified
Ladybug Preschool,School,kindergarten,,,+1-347-689-4622,,https://www.ladybug-preschool.com,,School Social Worker,9.54,OpenStreetMap (Overpass),raw_unverified
Richard R. Green High School of Teaching,School,school,7 Beaver Street,New York,+1-646-826-8174,,https://www.rrghst.org/,,School Social Worker,9.54,OpenStreetMap (Overpass),raw_unverified
Manorhaven Elementary School,School,school,,,,,,,School Social Worker,9.54,OpenStreetMap (Overpass),raw_unverified
Growing Life Christian Academy,School,school,,,,,,,School Social Worker,9.55,OpenStreetMap (Overpass),raw_unverified
Artisan Podiatry,Medical,doctors,200 Prospect Park West,,+1-347-799-1605,,https://www.artisanpodiatryny.com,,Pediatric Intake Coordinator,9.55,OpenStreetMap (Overpass),raw_unverified
Kesser Rehabilitation Center,Support Organization,rehabilitation,,,,,,,Program Intake Coordinator,9.55,OpenStreetMap (Overpass),raw_unverified
Weehawken Building Department / Recreation Department / Board of Health,Medical,clinic,,,,,,,Pediatric Intake Coordinator,9.55,OpenStreetMap (Overpass),raw_unverified
Public School 249,School,school,18 Marlborough Road,Brooklyn,,,https://www.catonschool.com/,,School Social Worker,9.55,OpenStreetMap (Overpass),raw_unverified
Public School 154,School,school,1625 11th Avenue,Brooklyn,,,https://www.ps154.org/,,School Social Worker,9.55,OpenStreetMap (Overpass),raw_unverified
Uceda School English,School,school,6014 Bergenline Avenue,,,,,,School Social Worker,9.56,OpenStreetMap (Overpass),raw_unverified
Maven Valley Prep,School,kindergarten,,,+1-347-335-0000,,https://mavenvp.com,,School Social Worker,9.56,OpenStreetMap (Overpass),raw_unverified
"Stephen C. Perrone, MD",Medical,doctor,33 1st Place,,,,,,Pediatric Intake Coordinator,9.56,OpenStreetMap (Overpass),raw_unverified
North Hudson Community Action Corporation,Support Organization,social_facility,7007 Polk Street,Guttenberg,+1-201-210-0333 x22105,,https://nhcac.org/services/social-services/emergency-assistance-department/,,Program Intake Coordinator,9.56,OpenStreetMap (Overpass),raw_unverified
The Bristal Assisted Living,Support Organization,social_facility,477 Hungry Harbor Road,Woodmere,,,,,Program Intake Coordinator,9.56,OpenStreetMap (Overpass),raw_unverified
Robert Fulton Annex School,School,school,,,,,,,School Social Worker,9.56,OpenStreetMap (Overpass),raw_unverified
Who's on First?,School,kindergarten,,,+1-718-243-1432,,http://www.whosonfirstkids.com,,School Social Worker,9.57,OpenStreetMap (Overpass),raw_unverified
"Dr. Himansh Khanna MD, FACS",Medical,doctors,348 13th Street,,,,,,Pediatric Intake Coordinator,9.57,OpenStreetMap (Overpass),raw_unverified
"Alan Stein, MD",Medical,doctors,348 13th Street,,,,,,Pediatric Intake Coordinator,9.57,OpenStreetMap (Overpass),raw_unverified
Cresthill Academy Day Care and Preschool,School,school,1300 Sinatra Drive North,,,,https://www.cresthillacademy.com/,,School Social Worker,9.57,OpenStreetMap (Overpass),raw_unverified
New Jersey Gynecomastia Center,Medical,doctors,1567 Palisade Avenue,Fort Lee,+1-551-201-1110,hello@newjerseygynecomastiacenter.com,https://newjerseygynecomastiacenter.com/,,Pediatric Intake Coordinator,9.57,OpenStreetMap (Overpass),raw_unverified
Penguin Coding School,School,kindergarten,424 7th Avenue,,+1-718-277-2755,,https://penguincodingschool.com/parkslope,,School Social Worker,9.58,OpenStreetMap (Overpass),raw_unverified
Mineola High School,School,school,10 Armstrong Road,Garden City Park,+1 516-237-2600,,https://www.mineola.k12.ny.us/schools/mineola_high,,School Social Worker,9.58,OpenStreetMap (Overpass),raw_unverified
Public School 95,School,school,3961 Hillman Avenue,Bronx,,,,,School Social Worker,9.58,OpenStreetMap (Overpass),raw_unverified
Roosevelt Elementary School,School,school,,,,,,,School Social Worker,9.58,OpenStreetMap (Overpass),raw_unverified
Yeshiva Ketana School of Long Island,School,school,,,,,,,School Social Worker,9.59,OpenStreetMap (Overpass),raw_unverified
Albert Tuitt Senior Educational Campus IS/HS 362,School,school,,,,,,,School Social Worker,9.59,OpenStreetMap (Overpass),raw_unverified
South Slope Pediatrics,Medical,doctor,,,+1-718-576-2450,,http://www.southslopepediatrics.com,,Pediatric Intake Coordinator,9.59,OpenStreetMap (Overpass),raw_unverified
Good Shepard Services,Support Organization,social_facility,503 5th Avenue,,+1-718-965-3313,,https://goodshepherds.org,,Program Intake Coordinator,9.59,OpenStreetMap (Overpass),raw_unverified
Collective Kind,School,kindergarten,,,,,https://www.thecollectivekind.com,,School Social Worker,9.59,OpenStreetMap (Overpass),raw_unverified
Yvonne Dang,Medical,doctor,,,+1-917-423-7011,,,,Pediatric Intake Coordinator,9.59,OpenStreetMap (Overpass),raw_unverified
Brooklyn Fibroid,Medical,clinic,406 15th Street,,+1-917-423-7011,,https://brooklynfibroid.com,,Pediatric Intake Coordinator,9.59,OpenStreetMap (Overpass),raw_unverified
Explorer Studio,School,kindergarten,,,+1-510-693-9098,,https://explorerstudiobk.com,,School Social Worker,9.59,OpenStreetMap (Overpass),raw_unverified
Maiden Lane Medical,Medical,clinic,503 5th Avenue,,+1-646-290-9560,,https://maidenlanemedical.com,,Pediatric Intake Coordinator,9.59,OpenStreetMap (Overpass),raw_unverified
Caton Park Rehabilitation & Nursing Center,Support Organization,social_facility,1312 Caton Avenue,,+1-718-693-7000,,https://catonpark.com,,Program Intake Coordinator,9.59,OpenStreetMap (Overpass),raw_unverified
Happy Montessori School of Port Washington,School,school,,,,,,,School Social Worker,9.59,OpenStreetMap (Overpass),raw_unverified
Apple Montessori,School,kindergarten,,,,,,,School Social Worker,9.6,OpenStreetMap (Overpass),raw_unverified
Nativity of Our Blessed Lady School,School,school,3893 Dyre Avenue,,,,,,School Social Worker,9.61,OpenStreetMap (Overpass),raw_unverified
Mineola Urgent Care,Medical,clinic,292 A Herricks Road,Mineola,,,,,Pediatric Intake Coordinator,9.61,OpenStreetMap (Overpass),raw_unverified
Ditmas Park Medical Care,Medical,clinic,2020 Cortelyou Road,,+1-718-689-7353,,,,Pediatric Intake Coordinator,9.61,OpenStreetMap (Overpass),raw_unverified
John F Kennedy High School,School,school,,,,,,,School Social Worker,9.62,OpenStreetMap (Overpass),raw_unverified
Zoni English,School,school,Bergenline Avenue,,,,,,School Social Worker,9.62,OpenStreetMap (Overpass),raw_unverified
Henry Viscardi School,School,school,,,,,,,School Social Worker,9.62,OpenStreetMap (Overpass),raw_unverified
Marble Hill High School of International Studies,School,school,,,,,,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Saint Mary School,School,school,3956 Carpenter Avenue,,,,,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Tiny Purple Pantry,Support Organization,social_facility,,,,,,,Program Intake Coordinator,9.63,OpenStreetMap (Overpass),raw_unverified
Bronx Excellence 3 Elementary,School,school,3956 Carpenter Avenue,Bronx,,,https://www.excellencecommunityschools.org/,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Mary McDowell Friends Middle School,School,school,133-135 Summit Street,,+1-718-858-1707,,https://new.marymcdowell.org/middle/,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Number 1 Elementary School,School,school,,,,,,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Number 4 Elementary School,School,school,,,,,,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Holy Name of Mary School,School,school,,,,,,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Saint Joseph the Worker Catholic Academy,School,school,241 Prospect Park West,,+1-718-768-7629,,https://sjwca.org,,School Social Worker,9.63,OpenStreetMap (Overpass),raw_unverified
Chickpeas,School,kindergarten,,,+1-347-878-8732,,https://www.chickpeas.org,,School Social Worker,9.64,OpenStreetMap (Overpass),raw_unverified
Bright Horizons,School,kindergarten,,,,,,,School Social Worker,9.64,OpenStreetMap (Overpass),raw_unverified
Center Street Elementary School,School,school,240 Center Street,Williston Park,,,,,School Social Worker,9.64,OpenStreetMap (Overpass),raw_unverified
Smith Street Maternelle,School,kindergarten,607 Henry Street,,+1-347-457-5099,,https://www.smithstreetworkshop.com/smith-street-preschool/,,School Social Worker,9.65,OpenStreetMap (Overpass),raw_unverified
Goal BMI,Medical,doctor,480 Court Street,,+1-347-830-3003,,https://www.goalbmi.com,,Pediatric Intake Coordinator,9.65,OpenStreetMap (Overpass),raw_unverified
Rebuilding Together,Support Organization,social_facility,126 10th Street,,+1-718-488-8840,,https://rebuildingtogethernyc.org,,Program Intake Coordinator,9.65,OpenStreetMap (Overpass),raw_unverified
District 2 Pre-K Center,School,kindergarten,2-26 Washington Street,New York,,,https://www.schools.nyc.gov/schools/Z015,,School Social Worker,9.65,OpenStreetMap (Overpass),raw_unverified
Downtown Vein Treatment Center,Medical,doctors,480 Court Street,Brooklyn,+1-718-787-5559,info@downtownveinvascular.com,https://www.downtownveinvascular.com/,,Pediatric Intake Coordinator,9.65,OpenStreetMap (Overpass),raw_unverified
Dosik Hematology / Oncology,Medical,clinic,,,+1-718-208-1820,,https://nych.com/doctors/alan-dosik-m-d/,,Pediatric Intake Coordinator,9.66,OpenStreetMap (Overpass),raw_unverified
Be Above Pre School,School,kindergarten,,,+1-718-852-7004,,,,School Social Worker,9.66,OpenStreetMap (Overpass),raw_unverified
Montefiore Einstein Radiology at Riverdale,Medical,doctors,3050 Corlear Avenue,Bronx,+1-917-962-5491,,https://montefioreeinstein.org/patient-care/services/radiology/locations,,Pediatric Intake Coordinator,9.66,OpenStreetMap (Overpass),raw_unverified
Sunrise Medical Laboratories,Medical,clinic,85 East Merrick Road,Valley Stream,,,,,Pediatric Intake Coordinator,9.66,OpenStreetMap (Overpass),raw_unverified
Northwell Health – GoHealth Urgent Care,Medical,clinic,1033 Northern Boulevard,Roslyn,,,,,Pediatric Intake Coordinator,9.66,OpenStreetMap (Overpass),raw_unverified
Windsor Podiatry,Medical,doctor,,,+1-718-768-2710,,,,Pediatric Intake Coordinator,9.67,OpenStreetMap (Overpass),raw_unverified
Park Slope Medical Center,Medical,doctors,,,+1-718-832-19,,,,Pediatric Intake Coordinator,9.67,OpenStreetMap (Overpass),raw_unverified
Brooklyn Endovascular Center,Medical,doctor,,,+1-347-479-1110,,https://americanendovascular.com/locations/brooklyn-ny/,,Pediatric Intake Coordinator,9.67,OpenStreetMap (Overpass),raw_unverified
Salvation Army Donation Center,Support Organization,social_facility,109 2nd Avenue,,+1-718-622-7166,,,,Program Intake Coordinator,9.67,OpenStreetMap (Overpass),raw_unverified
Union Hill High School,School,school,,,,,,,School Social Worker,9.67,OpenStreetMap (Overpass),raw_unverified
Dermatology Office,Medical,doctor,254 Prospect Park West,,+1-718-832-3313,,,,Pediatric Intake Coordinator,9.68,OpenStreetMap (Overpass),raw_unverified
Optum,Medical,clinic,1111 Hudson St,Hoboken,+1-201-683-6792,,https://east.optum.com/locations/pediatrics-hoboken-1111/,,Pediatric Intake Coordinator,9.68,OpenStreetMap (Overpass),raw_unverified
Intermediate School 78,School,school,,,,,,,School Social Worker,9.68,OpenStreetMap (Overpass),raw_unverified
International School of Brooklyn,School,school,477 Court Street,,+1-718-369-3023,,https://isbrooklyn.org,,School Social Worker,9.68,OpenStreetMap (Overpass),raw_unverified
Park Slope Family Health Center,Medical,clinic,220 13th Street,,+1-718-630-7942,,https://nyulangone.org/locations/park-slope-family-health-center-at-nyu-langone,,Pediatric Intake Coordinator,9.68,OpenStreetMap (Overpass),raw_unverified
Brooklyn Sandbox,School,kindergarten,,,+1-718-369-0033,,https://brooklynsandbox.com/,,School Social Worker,9.69,OpenStreetMap (Overpass),raw_unverified
Brooklyn Apple Academy,School,kindergarten,,,+1-917-533-5977,,https://www.brooklynappleacademy.org,,School Social Worker,9.69,OpenStreetMap (Overpass),raw_unverified
The Dermatology Specialists,Medical,doctor,,,+1-212-385-3700,,https://www.thedermspecs.com/locations/south-slope/,,Pediatric Intake Coordinator,9.69,OpenStreetMap (Overpass),raw_unverified
Beam Center,Support Organization,social_facility,60 Sackett Street,,+1-718-855-7600,,https://beamcenter.org,,Program Intake Coordinator,9.69,OpenStreetMap (Overpass),raw_unverified
Willow Road School,School,school,880 Catalpa Drive,Franklin Square,,,,,School Social Worker,9.69,OpenStreetMap (Overpass),raw_unverified
Valley Stream North High School,School,school,750 Herman Avenue,Franklin Square,,,,,School Social Worker,9.69,OpenStreetMap (Overpass),raw_unverified
PS 124 Silas B. Dutcher,School,school,,,,,https://ps124brooklyn.com/,,School Social Worker,9.69,OpenStreetMap (Overpass),raw_unverified
Saint Francis Hospital,Medical,hospital,100 Port Washington Boulevard,Roslyn,+1 516 562 6000,,http://www.stfrancisheartcenter.com/,,Pediatric Intake Coordinator,9.69,OpenStreetMap (Overpass),raw_unverified
Number 1 Elementary School,School,school,,,,,,,School Social Worker,9.7,OpenStreetMap (Overpass),raw_unverified
Dr. Allan Kaiser,Medical,doctor,,,+1-718-871-9191,,,,Pediatric Intake Coordinator,9.7,OpenStreetMap (Overpass),raw_unverified
Maimonides Doctors,Medical,clinic,550 5th Avenue,,,,,,Pediatric Intake Coordinator,9.7,OpenStreetMap (Overpass),raw_unverified
Project Reach Youth,Support Organization,social_facility,,,,,,,Program Intake Coordinator,9.7,OpenStreetMap (Overpass),raw_unverified
14th Street Preschool,School,kindergarten,,,,,,,School Social Worker,9.7,OpenStreetMap (Overpass),raw_unverified
New York Memory Center,Support Organization,social_facility,,,+1-718-499-7701,,https://www.nymemorycenter.org/,,Program Intake Coordinator,9.7,OpenStreetMap (Overpass),raw_unverified
Hudson's House,School,kindergarten,67 Woodhull Street,,,,https://olivetreehousegroup.com/our-schools/hudsons-off-henry/,,School Social Worker,9.7,OpenStreetMap (Overpass),raw_unverified
Saint Bernard School,School,school,,,,,,,School Social Worker,9.71,OpenStreetMap (Overpass),raw_unverified
Fort Lee School #1,School,school,,,,,,,School Social Worker,9.71,OpenStreetMap (Overpass),raw_unverified
Cobble Hill Playschool,School,kindergarten,653 Hicks Street,,+1-718-243-0440,,https://www.cobblehillplayschool.com,,School Social Worker,9.72,OpenStreetMap (Overpass),raw_unverified
Honeydew Drop,School,kindergarten,,,,,https://honeydewdrop.com,,School Social Worker,9.73,OpenStreetMap (Overpass),raw_unverified
Giocare Play School,School,kindergarten,,,+1-347-827-1372,,https://giocareplayschool.com,,School Social Worker,9.73,OpenStreetMap (Overpass),raw_unverified
Carroll Gardens Podiatry,Medical,doctor,,,+1-718-834-0909,,https://www.carrollgardenspodiatry.com,,Pediatric Intake Coordinator,9.73,OpenStreetMap (Overpass),raw_unverified
Ditmas Park Rehab & Care Center,Support Organization,social_facility,2107 Ditmas Avenue,Brooklyn,+1-718-462-8100,,https://ditmasrehab.com/,,Program Intake Coordinator,9.73,OpenStreetMap (Overpass),raw_unverified
JCC Brooklyn,School,kindergarten,1224 Prospect Avenue,,+1-718-407-6377,,https://www.jcc-brooklyn.org,,School Social Worker,9.74,OpenStreetMap (Overpass),raw_unverified
Park Slope Schoolhouse,School,kindergarten,556 5th Avenue,,+1-718-768-4873,,https://www.parkslopeschoolhouse.org,,School Social Worker,9.74,OpenStreetMap (Overpass),raw_unverified
Public School K146 Brooklyn New School,School,school,610 Henry Street,,,,,,School Social Worker,9.74,OpenStreetMap (Overpass),raw_unverified
Horace Mann Number 9 Elementary School,School,school,,,,,,,School Social Worker,9.74,OpenStreetMap (Overpass),raw_unverified
Advanced Orthopedics,Medical,clinic,133 East Merrick Road,Valley Stream,,,,,Pediatric Intake Coordinator,9.75,OpenStreetMap (Overpass),raw_unverified
Prompt-MD Urgent Care Center,Medical,clinic,2059 Hudson Street,Fort Lee,+12019441208,,https://promptmd.com/,,Pediatric Intake Coordinator,9.75,OpenStreetMap (Overpass),raw_unverified
Bergen Boulevard School,School,school,,,,,,,School Social Worker,9.75,OpenStreetMap (Overpass),raw_unverified
Prospect Kids Academy,School,kindergarten,,,+1-718-788-7727,,https://www.prospectkidsacademy.com,,School Social Worker,9.76,OpenStreetMap (Overpass),raw_unverified
New You Plastic Surgery,Medical,doctors,,,,,,,Pediatric Intake Coordinator,9.76,OpenStreetMap (Overpass),raw_unverified
Saint Augustine's School,School,school,,,,,,,School Social Worker,9.76,OpenStreetMap (Overpass),raw_unverified
Christian Heritage Academy,School,school,,,,,,,School Social Worker,9.77,OpenStreetMap (Overpass),raw_unverified
Quality Medical,Medical,clinic,East Merrick Road,Valley Stream,+1-516-599-5533,,http://qhmedicalcare.com,,Pediatric Intake Coordinator,9.77,OpenStreetMap (Overpass),raw_unverified
